country,count
Algeria,1
Argentina,1
Australia,19
Azerbaijan,2
Bahamas,4
Belarus,3
Brazil,14
Canada,1
China,56
Colombia,1
Croatia,15
Cuba,5
Czech Republic,4
Denmark,3
Dominican Republic,1
Spain,6
Ethiopia,3
France,30
United Kingdom,48
Georgia,1
Germany,45
Grenada,1
Hungary,12
Iran,5
Ireland,1
Italy,16
Jamaica,8
Japan,7
Kazakhstan,3
Kenya,2
"Korea, South",18
Latvia,1
Lithuania,2
Mexico,18
Netherlands,21
Norway,15
New Zealand,9
Poland,3
"Korea, North",4
,2
South Africa,6
Russia,47
Slovenia,1
,1
Switzerland,2
Sweden,2
Taiwan,1
,1
Tunisia,2
Turkey,1
Uganda,1
Ukraine,9
United States,147
Uzbekistan,1
Venezuela,1
